FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2023,769,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2022,2365,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2023,2166,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,99,Totale,2022,1493,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,99,Totale,2023,1586,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y_GE6,6 anni e più,99,Totale,2022,6306,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,9,Totale,Y_GE6,6 anni e più,99,Totale,2023,6005,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2022,87,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2023,55,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2022,58,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,36,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2022,134,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,107,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2022,128,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2023,121,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2022,408,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2023,319,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2022,61,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2023,80,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2022,60,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2023,38,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2022,163,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2023,126,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2022,161,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2023,139,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y_GE6,6 anni e più,99,Totale,2022,445,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,2,Femmine,Y_GE6,6 anni e più,99,Totale,2023,382,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,9,Totale,Y6-24,6-24 anni,99,Totale,2022,148,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,9,Totale,Y6-24,6-24 anni,99,Totale,2023,134,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2022,118,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2023,74,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2022,297,,
A,Annuale,6_INT_QV_MESE,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: qualche volta al mese,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2023,233,,
